"playerID","award","year","lgID","note","pos","name"
"leslili01w","WNBA Finals Most Valuable Player","2001","WNBA","","",""
"leslili01w","WNBA Finals Most Valuable Player","2002","WNBA","","",""
"rileyru01w","WNBA Finals Most Valuable Player","2003","WNBA","","",""
"lennobe01w","WNBA Finals Most Valuable Player","2004","WNBA","","",""
"griffyo01w","WNBA Finals Most Valuable Player","2005","WNBA","","",""
"nolande01w","WNBA Finals Most Valuable Player","2006","WNBA","","",""
"pondeca01w","WNBA Finals Most Valuable Player","2007","WNBA","","",""
"smithka01w","WNBA Finals Most Valuable Player","2008","WNBA","","",""
"tauradi01w","WNBA Finals Most Valuable Player","2009","WNBA","","",""
"birdsu01w","WNBA All-Decade Team","2006","WNBA","","G",""
"catchta01w","WNBA All-Decade Team","2006","WNBA","","F",""
"coopecy01w","WNBA All-Decade Team","2006","WNBA","","G",""
"griffyo01w","WNBA All-Decade Team","2006","WNBA","","C",""
"jacksla01w","WNBA All-Decade Team","2006","WNBA","","C",""
"leslili01w","WNBA All-Decade Team","2006","WNBA","","C",""
"smithka01w","WNBA All-Decade Team","2006","WNBA","","F",""
"staleda01w","WNBA All-Decade Team","2006","WNBA","","G",""
"swoopsh01w","WNBA All-Decade Team","2006","WNBA","","F",""
"thompti01w","WNBA All-Decade Team","2006","WNBA","","F",""
"boltoru01w","WNBA All Decade Team Honorable Mention","2006","WNBA","","G",""
"holdsch01w","WNBA All Decade Team Honorable Mention","2006","WNBA","","F",""
"penicti01w","WNBA All Decade Team Honorable Mention","2006","WNBA","","G",""
"tauradi01w","WNBA All Decade Team Honorable Mention","2006","WNBA","","G",""
"weathte01w","WNBA All Decade Team Honorable Mention","2006","WNBA","","G",""
"jacksla01w","Most Valuable Player","2010","WNBA","","F",""
"jacksla01w","WNBA Finals Most Valuable Player","2010","WNBA","","F","Lauren Jackson "
"charlti01w","Rookie of the Year","2010","WNBA","","C","Tina Charles "
"mitchle01w","Most Improved Player","2010","WNBA","","G","Leilani Mitchell "
"catchta01w","Defensive Player of the Year","2010","WNBA","","F","Tamika Catchings "
"bonnede01w","Sixth Woman of the Year","2010","WNBA","","G-F","DeWanna Bonner "
"catchta01w","Kim Perrot Sportsmanship","2010","WNBA","","F","Tamika Catchings "
"tauradi01w","Peak Performer: Points","2010","WNBA","","G-F","Diana Taurasi "
"charlti01w","Peak Performer: Rebounds","2010","WNBA","","C","Tina Charles "
"penicti01w","Peak Performer: Assists","2010","WNBA","","G","Ticha Penicheiro "
"aglerbr99w","Coach of the Year","2010","WNBA","","Coach","Brian Alger"
"catchta01w","Most Valuable Player","2011","WNBA","","F","Tamika Catchings "
"augusse01w","WNBA Finals Most Valuable Player","2011","WNBA","","G-F","Seimone Augustus "
"moorema01w","Rookie of the Year","2011","WNBA","","F","Maya Moore "
"vaughki01w","Most Improved Player","2011","WNBA","","C","Kia Vaughn "
"fowlesy01w","Defensive Player of the Year","2011","WNBA","","C","Sylvia Fowles "
"bonnede01w","Sixth Woman of the Year","2011","WNBA","","F","DeWanna Bonner "
"birdsu01w","Kim Perrot Sportsmanship","2011","WNBA","tie","G","Sue Bird"
"rileyru01w","Kim Perrot Sportsmanship","2011","WNBA","tie","C","Ruth Riley "
"tauradi01w","Peak Performer: Points","2011","WNBA","","G-F","Diana Taurasi "
"charlti01w","Peak Performer: Rebounds","2011","WNBA","","C","Tina Charles "
"whaleli01w","Peak Performer: Assists","2011","WNBA","","G","Lindsay Whalen "
"charlti01w","Most Valuable Player","2012","WNBA","","C","Tina Charles "
"catchta01w","WNBA Finals Most Valuable Player","2012","WNBA","","F","Tamika Catchings "
"ogwumnn01w","Rookie of the Year","2012","WNBA","","F","Nneka Ogwumike "
"tolivkr01w","Most Improved Player","2012","WNBA","","G","Kristi Toliver "
"catchta01w","Defensive Player of the Year","2012","WNBA","","F","Tamika Catchings "
"montgre01w","Sixth Woman of the Year","2012","WNBA","","G","Renee Montgomery "
"lawsoka01w","Kim Perrot Sportsmanship","2012","WNBA","","G","Kara Lawson "
"mccouan01w","Peak Performer: Points","2012","WNBA","","G-F","Angel McCoughtry "
"charlti01w","Peak Performer: Rebounds","2012","WNBA","","C","Tina Charles "
"whaleli01w","Peak Performer: Assists","2012","WNBA","","G","Lindsay Whalen "
