"draftYear","draftRound","draftSelection","draftOverall","tmID","firstName","lastName","fullName","suffixName","playerID","draftFrom","lgID","playedPro","notes","pickRoute"
"1997","2","0","18","NEW","Deanna","Tate","Deanna Tate","","","University of Maryland","ABL","x","","COQ to NEB"
"1997","4","0","36","NEW","Sandra","Hodge","Sandra Hodge","","","University of New Orleans","ABL","x","","COQ to NEB"
"1998","3","0","28","NEW","Laurie","Byrd","Laurie Byrd","","","Eastern Michigan University","ABL","x","","NEB"
"1998","1","0","3","NEW","Barbara","Farris","Barbara Farris","","","Tulane University","ABL","v","","LBS to SER to NEB"
"1998","2","0","19","NEW","Trisha","Stafford","Trisha Stafford","","","University of California","ABL","v","","LBS to NEB"
"1998","3","0","27","NEW","Carla","Berube","Carla Berube","","","University of Connecticut","ABL","x","","NEB"
"1998","5","0","47","NEW","Limor","Mizrachi","Limor Mizrachi","","","University of Maryland","ABL","x","","NEB"
"1997","1","0","4","NYL","Kym","Hampton","Kym Hampton","","","Arizona State University","WNBA","v","elite","NYL"
"1997","4","0","27","NYL","Kisha","Ford","Kisha Ford","","","Georgia Institute of Technology","WNBA","v","regular","NYL"
"1997","2","0","13","NYL","Teresa","Weatherspoon","Teresa Weatherspoon","","","Louisiana Tech University","WNBA","v","initial","NYL"
"1997","2","0","12","NYL","Vickie","Johnson","Vickie Johnson","","","Louisiana Tech University","WNBA","v","elite","NYL"
"1997","3","0","22","NYL","Trena","Trice","Trena Trice","","","North Carolina State University","WNBA","v","regular","NYL"
"1997","1","0","6","NYL","Sue","Wicks","Sue Wicks","","","Rutgers University","WNBA","v","regular","NYL"
"1997","1","0","5","NYL","Rebecca","Lobo","Rebecca Lobo","","","University of Connecticut","WNBA","v","initial","NYL"
"1997","2","0","11","NYL","Sophia","Witherspoon","Sophia Witherspoon","","","University of Florida","WNBA","v","regular","NYL"
"1998","3","0","29","NYL","Albena","Branzova","Albena Branzova","","","Florida International University","WNBA","v","regular","NYL"
"1998","4","0","39","NYL","Vanessa","Nygaard","Vanessa Nygaard","","","Stanford University","WNBA","v","regular","NYL"
"1998","1","0","9","NYL","Alicia","Thompson","Alicia Thompson","","","Texas Tech University","WNBA","v","regular","NYL"
"1998","2","0","19","NYL","Nadine","Domond","Nadine Domond","","","University of Iowa","WNBA","v","regular","NYL"
"1999","4","0","42","NYL","Carolyn","Jones-Young","Carolyn Jones-Young","","","Auburn University","WNBA","v","regular","NYL"
"1999","2","0","18","NYL","Michele","VanGorp","Michele VanGorp","","","Duke University","WNBA","v","regular","NYL"
"1999","1","0","6","NYL","Crystal","Robinson","Crystal Robinson","","","Southeastern  Oklahoma State University","WNBA","v","regular","NYL"
"1999","3","0","30","NYL","Tamika","Whitmore","Tamika Whitmore","","","University of Memphis","WNBA","v","regular","NYL"
"2000","3","0","45","NYL","Jessica","Bibby","Jessica Bibby","","","Australia","WNBA","v","","NYL"
"2000","4","0","61","NYL","Natalie","Porter","Natalie Porter","","","Australia","WNBA","x","","NYL"
"2000","2","0","29","NYL","Desiree","Francis","Desiree Francis","","","Iowa State University","WNBA","v","","NYL"
"2000","1","0","13","NYL","Olga","Firsova","Olga Firsova","","","Kansas State University","WNBA","v","","NYL"
"2001","4","0","60","NYL","Tara","Mitchem","Tara Mitchem","","","Southwest Missouri State University","WNBA","x","","NYL"
"2001","4","0","57","NYL","Taru","Tuukkanen","Taru Tuukkanen","","","Xavier University","WNBA","x","","WSM to NYL"
"2002","3","0","46","NYL","Tracy","Gahan","Tracy Gahan","","","Iowa State University","WNBA","x","","NYL"
"2002","4","0","62","NYL","Darrielle 'Dee Dee'","Warley","Darrielle 'Dee Dee' Warley","","","University of Maryland","WNBA","x","","NYL"
"2002","2","0","26","NYL","Linda","Fr?hlich","Linda Fr?hlich","","","University of Nevada-Las Vegas","WNBA","v","","HTC to NYL"
"2003","2","0","17","NYL","Erin","Thorn","Erin Thorn","","","Brigham Young University","WNBA","v","","SAC to NYL"
"2003","1","0","10","NYL","Molly","Creamer","Molly Creamer","","","Bucknell University","WNBA","x","","NYL"
"2003","2","0","24","NYL","Sonja","Mallory","Sonja Mallory","","","Georgia Institute of Technology","WNBA","v","","NYL"
"2003","3","0","39","NYL","Nicole","Kaczmarski","Nicole Kaczmarski","","","UCLA","WNBA","x","","NYL"
"2003","2","0","26","NYL","Kristen 'K.B.'","Sharp","Kristen 'K.B.' Sharp","","","University of Cincinnati","WNBA","v","","HTC to NYL"
"2004","3","0","30","NYL","Cathy","Joens","Cathy Joens","","","George Washington University","WNBA","v","","NYL"
"2004","2","0","17","NYL","Amisha","Carter","Amisha Carter","","","Louisiana Tech University","WNBA","v","","NYL"
"2004","1","0","5","NYL","Shameka","Christon","Shameka Christon","","","University of Arkansas","WNBA","v","","NYL"
"2005","3","0","36","NYL","Rebecca","Richman","Rebecca Richman","","","Rutgers University","WNBA","x","","NYL"
"2005","2","0","23","NYL","Tabitha","Poole","Tabitha Poole","","","University of Michigan","WNBA","x","","NYL"
"2005","1","0","10","NYL","Loree","Moore","Loree Moore","","","University of Tennessee","WNBA","v","","NYL"
"2006","2","0","23","NYL","Brooke","Queenan","Brooke Queenan","","","Boston College","WNBA","v","","NYL"
"2006","1","0","12","NYL","Sherill","Baker","Sherill Baker","","","University of Georgia","WNBA","v","","INF to NYL"
"2006","3","0","37","NYL","Christelle","N'Garsanet","Christelle N?Garsanet","","","University of Missouri","WNBA","v","","NYL"
"2007","3","0","29","NYL","Martina","Weber","Martina Weber","","","Iona College","WNBA","v","","NYL"
"2007","2","0","16","NYL","Shay","Doron","Shay Doron","","","University of Maryland","WNBA","v","","NYL"
"2007","1","0","5","NYL","Tiffany","Jackson","Tiffany Jackson","","","University of Texas","WNBA","v","","NYL"
"2008","2","0","27","NYL","Wanisha","Smith","Wanisha Smith","","","Duke University","WNBA","v","","PHM to NYL"
"2008","1","0","7","NYL","Essence","Carson","Essence Carson","","","Rutgers University","WNBA","v","","NYL"
"2008","1","0","14","NYL","Erlana","Larkins","Erlana Larkins","","","University of North Carolina","WNBA","v","","DTS to SSS to NYL"
"2008","3","0","35","NYL","Alberta","Auguste","Alberta Auguste","","","University of Tennessee","WNBA","x","","NYL"
"2009","2","0","21","NYL","Abby","Waner","Abby Waner","","","Duke University","WNBA","x","","NYL"
"2009","1","0","8","NYL","Kia","Vaughn","Kia Vaughn","","","Rutgers University","WNBA","v","","NYL"
"2010","2","0","13","NYL","Kalana","Greene","Kalana Greene","","","University of Connecticut","WNBA","v","","NYL"
"2010","2","0","16","NYL","Ashley","Houts","Ashley Houts","","","University of Georgia","WNBA","v","","CSK to NYL"
"2010","3","0","25","NYL","Cory","Montgomery","Cory Montgomery","","","University of Nebraska","WNBA","x","","NYL"
"2011","1","0","10","NYL","Alex","Montgomery","Alex Montgomery","","","Georgia Institute of Technology","WNBA","v","","NYL"
"2011","2","0","22","NYL","Angel","Robinson","Angel Robinson","","","Marquette University","WNBA","x","","NYL"
"2011","3","0","34","NYL","Mekia","Valentine","Mekia Valentine","","","University of California, Santa Barbara","WNBA","x","","NYL"
"2012","3","0","36","NYL","Katelan","Redmon","Katelan Redmon","","","Gonzaga University","WNBA","x","","MNL to NYL"
"2012","1","0","7","NYL","Kelley","Cain","Kelley Cain","","","University of Tennessee","WNBA","x","","NYL"
"1999","4","0","50","ORL","Elaine","Powell","Elaine Powell","","","Louisiana State University","WNBA","v","regular","ORM"
"1999","3","0","32","ORL","Taj","McWilliams","Taj McWilliams","","","St. Edward's University","WNBA","v","regular","ORM"
"1999","1","0","8","ORL","Tari","Phillips","Tari Phillips","","","University of Central Florida","WNBA","v","regular","ORM"
"1999","4","0","44","ORL","Carla","McGhee","Carla McGhee","","","University of Tennessee","WNBA","v","regular","ORM"
"1999","2","0","20","ORL","Sheri","Sam","Sheri Sam","","","Vanderbilt University","WNBA","v","regular","ORM"
"2000","1","0","4","ORL","Cintia","dos Santos","Cintia dos Santos","","","Brazil","WNBA","v","","ORM"
"2000","4","0","52","ORL","Romana","Hamzova","Romana Hamzova","","","Czech Republic","WNBA","v","","ORM"
"2000","2","0","20","ORL","Jannon","Roland","Jannon Roland","","","Purdue University","WNBA","v","","ORM"
"2000","3","0","36","ORL","Shawnetta","Stewart","Shawnetta Stewart","","","Rutgers University","WNBA","x","","ORM"
"2001","2","0","26","ORL","Brooke","Wyckoff","Brooke Wyckoff","","","Florida State University","WNBA","v","","ORM"
"2001","1","0","10","ORL","Katie","Douglas","Katie Douglas","","","Purdue University","WNBA","v","","ORM"
"2001","3","0","42","ORL","Jaclyn","Johnson","Jaclyn Johnson","","","University of Kansas","WNBA","v","","ORM"
"2001","4","0","58","ORL","Anne","Thorius","Anne Thorius","","","University of Michigan","WNBA","x","","ORM"
"2002","4","0","55","ORL","Tomeka","Brown","Tomeka Brown","","","Ohio State University","WNBA","x","","ORM"
"2002","2","0","23","ORL","Davalyn","Cunningham","Davalyn Cunningham","","","Rutgers University","WNBA","v","","ORM"
"2002","3","0","39","ORL","Saundra","Jackson","Saundra Jackson","","","University of Mississippi","WNBA","x","","ORM"
"1997","4","0","25","PHO","Monique","Ambers","Monique Ambers","","","Arizona State University","WNBA","v","regular","PHM"
"1997","2","0","14","PHO","Michelle","Timms","Michelle Timms","","","Australia","WNBA","v","initial","PHM"
"1997","3","0","24","PHO","Umeki","Webb","Umeki Webb","","","North Carolina State University","WNBA","v","regular","PHM"
"1997","2","0","15","PHO","Nancy","Lieberman-Cline","Nancy Lieberman-Cline","","","Old Dominion University","WNBA","v","elite","PHM"
"1997","1","0","7","PHO","Bridget","Pettis","Bridget Pettis","","","University of Florida","WNBA","v","elite","PHM"
"1997","1","0","8","PHO","Toni","Foster","Toni Foster","","","University of Iowa","WNBA","v","regular","PHM"
"1997","2","0","9","PHO","Tia","Jackson","Tia Jackson","","","University of Iowa","WNBA","v","regular","PHM"
"1997","1","0","6","PHO","Jennifer","Gillom","Jennifer Gillom","","","University of Mississippi","WNBA","v","initial","PHM"
"1998","4","0","38","PHO","Karen","Wilkins","Karen Wilkins","","","Howard University","WNBA","x","regular","PHM"
"1998","1","0","8","PHO","Maria","Stepanova","Maria Stepanova","","","Russia","WNBA","v","regular","PHM"
"1998","2","0","18","PHO","Andrea","Kuklova","Andrea Kuklova","","","Slovakia","WNBA","v","regular","PHM"
"1998","3","0","28","PHO","Brandy","Reed","Brandy Reed","","","University of Southern Mississippi","WNBA","v","regular","PHM"
"1999","4","0","46","PHO","Amanda","Wilson","Amanda Wilson","","","Louisiana Tech University","WNBA","v","regular","PHM"
"1999","3","0","34","PHO","Lisa","Harrison","Lisa Harrison","","","University of Tennessee","WNBA","v","regular","PHM"
"1999","1","0","10","PHO","Edna","Campbell","Edna Campbell","","","University of Texas","WNBA","v","regular","PHM"
"1999","2","0","22","PHO","Clarissa","Davis-Wrightsil","Clarissa Davis-Wrightsil","","","University of Texas","WNBA","v","regular","PHM"
"2000","3","0","37","PHO","Tauja","Catchings","Tauja Catchings","","","University of Illinois","WNBA","x","","PHM"
"2000","4","0","53","PHO","Shantia","Owens","Shantia Owens","","","University of Kentucky","WNBA","v","","PHM"
"2000","2","0","21","PHO","Adrian","Williams","Adrian Williams","","","University of Southern California","WNBA","v","","PHM"
"2001","1","0","13","PHO","Kristen","Veal","Kristen Veal","","","Australia","WNBA","v","","PHM"
"2001","2","0","29","PHO","Ilona","Korstine","Ilona Korstine","","","Russia","WNBA","v","","PHM"
"2001","4","0","53","PHO","Carolyn","Moos","Carolyn Moos","","","Stanford University","WNBA","v","","MIS to PHM"
"2001","4","0","61","PHO","Megan","Franza","Megan Franza","","","University of Washington","WNBA","x","","PHM"
"2001","3","0","45","PHO","Tere","Williams","Tere Williams","","","Virginia Polytechnic Institute","WNBA","x","","PHM"
"2002","4","0","56","PHO","Amba","Kongolo","Amba Kongolo","","","North Carolina Central University","WNBA","x","","PHM"
"2002","3","0","40","PHO","Kayte","Christensen","Kayte Christensen","","","University of California, Santa Barbara","WNBA","v","","PHM"
"2002","2","0","25","PHO","LaShaneal 'Tootie'","Shaw","LaShaneal 'Tootie' Shaw","","","Wichita State University","WNBA","x","","CHR to PHM"
"2003","1","0","4","PHO","Plenette","Pierson","Plenette Pierson","","","Texas Tech University","WNBA","v","","PHM"
"2003","3","0","33","PHO","Marion","Jones","Marion Jones","","","University of North Carolina","WNBA","v","","MIS to PHM"
"2003","2","0","16","PHO","Petra","Ujhelyi","Petra Ujhelyi","","","University of South Carolina","WNBA","v","","PHM"
"2003","3","0","31","PHO","Telisha","Quarles","Telisha Quarles","","","University of Virginia","WNBA","x","","PHM"
"2004","1","0","1","PHO","Diana","Taurasi","Diana Taurasi","","","University of Connecticut","WNBA","v","","PHM"
"2004","1","0","8","PHO","Chandi","Jones","Chandi Jones","","","University of Houston","WNBA","v","","CON to PHM"
"2004","3","0","27","PHO","Maria","Villarroel","Maria Villarroel","","","University of Oklahoma","WNBA","x","","PHM"
"2004","2","0","14","PHO","Ashley","Robinson","Ashley Robinson","","","University of Tennessee","WNBA","v","","PHM"
"2005","1","0","3","PHO","Sandora","Irvin","Sandora Irvin","","","Texas Christian University","WNBA","v","","PHM"
"2005","2","0","18","PHO","Angelina","Williams","Angelina Williams","","","University of Illinois","WNBA","v","","PHM"
"2005","3","0","31","PHO","Jamie","Carey","Jamie Carey","","","University of Texas","WNBA","v","","PHM"
"2006","2","0","21","PHO","Mistie","Williams","Mistie Williams","","","Duke University","WNBA","v","","DTS to PHM"
"2006","2","0","18","PHO","Liz","Shimek","Liz Shimek","","","Michigan State University","WNBA","x","","PHM"
"2006","1","0","2","PHO","Cappie","Pondexter","Cappie Pondexter","","","Rutgers University","WNBA","v","","PHM"
"2006","3","0","32","PHO","Crystal","Smith","Crystal Smith","","","University of Iowa","WNBA","v","","PHM"
"2007","3","0","37","PHO","Emily","Westerberg","Emily Westerberg","","","Arizona State University","WNBA","x","","PHM"
"2007","1","0","1","PHO","Lindsey","Harding","Lindsey Harding","","","Duke University","WNBA","v","","PHM"
"2007","3","0","31","PHO","Chrissy","Givens","Chrissy Givens","","","Middle Tennessee State University","WNBA","v","","PHM"
"2007","2","0","18","PHO","Tyresa","Smith","Tyresa Smith","","","University of Delaware","WNBA","v","","PHM"
"2007","3","0","28","PHO","Leah","Rush","Leah Rush","","","University of Oklahoma","WNBA","v","","PHM"
"2008","1","0","13","PHO","LaToya","Pringle","LaToya Pringle","","","University of North Carolina","WNBA","v","","PHM"
"2008","2","0","25","PHO","Leilani","Mitchell","Leilani Mitchell","","","University of Utah","WNBA","v","","SSS to PHM"
"2009","1","0","5","PHO","DeWanna","Bonner","DeWanna Bonner","","","Auburn University","WNBA","v","","PHM"
"2009","3","0","34","PHO","Jessica","Adair","Jessica Adair","","","George Washington University","WNBA","v","","NYL to PHM"
"2009","3","0","31","PHO","Sha","Brooks","Sha Brooks","","","University of Florida","WNBA","x","","PHM"
"2010","2","0","24","PHO","Tyra","Grant","Tyra Grant","","","Penn State University","WNBA","x","","PHM"
"2010","3","0","36","PHO","Nyeshia","Stevenson","Nyeshia Stevenson","","","University of Oklahoma","WNBA","x","","PHM"
"2011","2","0","19","PHO","Brittany","Spears","Brittany Spears","","","University of Colorado","WNBA","x","","PHM"
"2011","3","0","31","PHO","Tahnee","Robinson","Tahnee Robinson","","","University of Nevada","WNBA","x","","PHM"
"2012","1","0","6","PHO","Samantha","Prahalis","Samantha Prahalis","","","Ohio State University","WNBA","x","","PHM"
"2012","2","0","24","PHO","C'eira","Ricketts","C?eira Ricketts","","","University of Arkansas","WNBA","x","","MNL to PHM"
"2012","3","0","30","PHO","Christine","Flores","Christine Flores","","","University of Missouri","WNBA","x","","PHM"
"2012","3","0","33","PHO","Amanda","Johnson","Amanda Johnson","","","University of Oregon","WNBA","x","","CON to PHM"
"1998","3","0","22","PHR","Liliana","Cabezas","Liliana Cabezas","","","Central Florida Community College","ABL","x","","PHR"
"1998","2","0","12","PHR","Shantel","Hardison","Shantel Hardison","","","Louisiana Tech University","ABL","x","","PHR"
"1998","1","0","2","PHR","Chasity","Melvin","Chasity Melvin","","","North Carolina State University","ABL","v","","PHR"
"1998","4","0","32","PHR","Traci","Thirdgill","Traci Thirdgill","","","University of Washington","ABL","x","","PHR"
"2000","4","0","55","POR","Rhonda","Smith","Rhonda Smith","","","California State University, Long Beach","WNBA","x","","POF"
"2000","3","0","39","POR","Maxann","Reese","Maxann Reese","","","Michigan State University","WNBA","x","","POF"
"2000","1","0","7","POR","Lynn","Pride","Lynn Pride","","","University of Kansas","WNBA","v","","POF"
"2000","2","0","23","POR","Stacey","Thomas","Stacey Thomas","","","University of Michigan","WNBA","v","","POF"
"2001","3","0","36","POR","Rasheeda","Clark","Rasheeda Clark","","","Pepperdine University","WNBA","x","","POF"
"2001","4","0","52","POR","Natasha","Pointer","Natasha Pointer","","","Rutgers University","WNBA","x","","POF"
"2001","1","0","4","POR","Jackie","Stiles","Jackie Stiles","","","Southwest Missouri State University","WNBA","v","","POF"
"2001","1","0","12","POR","LaQuanda","Barksdale","LaQuanda Barksdale","","","University of North Carolina","WNBA","v","","NYL to MNL to POF"
"2001","2","0","20","POR","Jenny","Mowe","Jenny Mowe","","","University of Oregon","WNBA","v","","POF"
"2002","4","0","50","POR","Melody","Johnson","Melody Johnson","","","Arizona State University","WNBA","x","","DTS to POF"
"2002","3","0","37","POR","Mandy","Nightingale","Mandy Nightingale","","","University of Colorado","WNBA","x","","POF"
"2002","4","0","53","POR","Monique","Cardenas","Monique Cardenas","","","University of Florida","WNBA","x","","POF"
"2002","1","0","5","POR","Nikki","Teasley","Nikki Teasley","","","University of North Carolina","WNBA","v","","POF"
"1997","2","0","11","PRT","Laticia","Morris","Laticia Morris","","","Auburn University","ABL","x","","PRT"
"1997","3","0","20","PRT","Elaine","Powell","Elaine Powell","","","Louisiana State University","ABL","v","","PRT"
"1997","6","0","47","PRT","Charmin","Smith","Charmin Smith","","","Stanford University","ABL","v","","PRT"
"1997","4","0","29","PRT","Erin","Scholz","Erin Scholz","","","University of Colorado","ABL","x","","PRT"
"1997","1","0","2","PRT","DeLisha","Milton","DeLisha Milton","","","University of Florida","ABL","v","","PRT"
"1997","5","0","38","PRT","Markita","Aldridge","Markita Aldridge","","","University of North Carolina-Charlotte","ABL","v","","PRT"
"1998","5","0","48","PRT","Laticia","Morris","Laticia Morris","","","Auburn University","ABL","x","","PRT"
"1998","1","0","10","PRT","Debra","Williams","Debra Williams","","","Louisiana Tech University","ABL","v","","COQ to PRT"
"1998","1","0","8","PRT","Averrill","Roberts","Averrill Roberts","","","Ohio State University","ABL","x","","PRT"
"1998","4","0","38","PRT","Heather","Owen","Heather Owen","","","Stanford University","ABL","v","","PRT"
"1998","3","0","21","PRT","Shelley","Sheetz","Shelley Sheetz","","","University of Colorado","ABL","x","","CCO to PRT"
"1998","1","0","1","PRT","Danielle","McCulley","Danielle McCulley","","","Western Kentucky University","ABL","v","","CCO to PRT"
"1997","4","0","35","RIC","Dana","Wilkerson","Dana Wilkerson","","","California State University, Long Beach","ABL","x","","RIR"
"1997","6","0","53","RIC","Esther","Benjamin","Esther Benjamin","","","Old Dominion University","ABL","x","","RIR"
"1997","5","0","44","RIC","Amy","Mallon","Amy Mallon","","","St. Joseph?s University","ABL","x","","RIR"
"1997","1","0","8","RIC","La'Keshia","Frett","La?Keshia Frett","","","University of Georgia","ABL","v","T","RIR"
"1997","2","0","17","RIC","Beth","Morgan","Beth Morgan","","","University of Notre Dame","ABL","x","","RIR"
"1997","3","0","26","RIC","Michelle","Campbell","Michelle Campbell","","","University of Southern California","ABL","v","","RIR"
"1997","1","0","7","SAC","Ruthie","Bolton-Holifield","Ruthie Bolton-Holifield","","","Auburn University","WNBA","v","initial","SAM"
"1997","3","0","18","SAC","Chantel","Tremitiere","Chantel Tremitiere","","","Auburn University","WNBA","v","regular","SAM"
"1997","4","0","31","SAC","Tajama","Abraham","Tajama Abraham","","","George Washington University","WNBA","v","regular","SAM"
"1997","2","0","15","SAC","Denique","Graves","Denique Graves","","","Howard University","WNBA","v","regular","SAM"
"1997","2","0","14","SAC","Mikiko","Hagiwara","Mikiko Hagiwara","","","Japan","WNBA","v","elite","SAM"
"1997","1","0","6","SAC","Judy","Mosley-McAfee","Judy Mosley-McAfee","","","University of Hawaii","WNBA","v","elite","SAM"
"1997","1","0","2","SAC","Pamela","McGee","Pamela McGee","","","University of Southern California","WNBA","v","regular","SAM"
"1997","2","0","15","SAC","Bridgette","Gordon","Bridgette Gordon","","","University of Tennessee","WNBA","v","initial","SAM"
"1998","3","0","22","SAC","Quacy","Barnes","Quacy Barnes","","","Indiana University","WNBA","v","regular","SAM"
"1998","1","0","2","SAC","Ticha","Penicheiro","Ticha Penicheiro","","","Old Dominion University","WNBA","v","regular","SAM"
"1998","4","0","32","SAC","Adia","Barnes","Adia Barnes","","","University of Arizona","WNBA","v","regular","SAM"
"1998","2","0","12","SAC","Tangela","Smith","Tangela Smith","","","University of Iowa","WNBA","v","regular","SAM"
"1999","1","0","2","SAC","Yolanda","Griffith","Yolanda Griffith","","","Florida Atlantic University","WNBA","v","regular","SAM"
"1999","3","0","26","SAC","Kate","Starbird","Kate Starbird","","","Stanford University","WNBA","v","regular","SAM"
"1999","2","0","14","SAC","Kedra","Holland-Corn","Kedra Holland-Corn","","","University of Georgia","WNBA","v","regular","SAM"
"1999","4","0","38","SAC","Amy","Herrig","Amy Herrig","","","University of Iowa","WNBA","v","regular","SAM"
"2000","4","0","62","SAC","Jessica","Zinobile","Jessica Zinobile","","","St. Francis University ","WNBA","x","","SAM"
"2000","1","0","14","SAC","Katy","Steding","Katy Steding","","","Stanford University","WNBA","v","","SAM"
"2000","2","0","30","SAC","Stacy","Clinesmith","Stacy Clinesmith","","","University of California, Santa Barbara","WNBA","v","","SAM"
"2000","3","0","46","SAC","Rhonda","Banchero","Rhonda Banchero","","","University of Washington","WNBA","v","","SAM"
"2001","2","0","30","SAC","Jackie","Moore","Jackie Moore","","","California State University, Long Beach","WNBA","v","","SAM"
"2001","4","0","62","SAC","Katie","Smrcka-Duffy","Katie Smrcka-Duffy","","","Georgetown University","WNBA","v","","SAM"
"2001","3","0","46","SAC","Maren","Walseth","Maren Walseth","","","Penn State University","WNBA","v","","SAM"
"2002","1","0","12","SAC","Hamch?tou","Ma?ga","Hamch?tou Ma?ga","","","Old Dominion University","WNBA","v","","SAM"
"2002","4","0","51","SAC","Jermisha","Dosty","Jermisha Dosty","","","St. Mary?s University","WNBA","x","","SES to SAM"
"2002","4","0","60","SAC","Elizabeth","Pickney","Elizabeth Pickney","","","University of Arizona","WNBA","x","","SAM"
"2002","3","0","44","SAC","Alayne","Ingram","Alayne Ingram","","","University of Michigan","WNBA","x","","SAM"
"2003","1","0","2","SAC","Chantelle","Anderson","Chantelle Anderson","","","Vanderbilt University","WNBA","v","","SAM"
"2004","1","0","10","SAC","Rebekkah","Brunson","Rebekkah Brunson","","","Georgetown University","WNBA","v","","SAM"
"2004","3","0","36","SAC","Nuria","Martinez","Nuria Martinez","","","Spain","WNBA","v","","SAM"
"2005","3","0","30","SAC","Anne","O'Neil","Anne O?Neil","","","Iowa State University","WNBA","x","","CHR to SAM"
"2005","1","0","9","SAC","Kristin","Haynie","Kristin Haynie","","","Michigan State University","WNBA","v","","SAM"
"2005","2","0","22","SAC","Chelsea","Newton","Chelsea Newton","","","Rutgers University","WNBA","v","","SAM"
"2005","3","0","35","SAC","Cisti","Greenwalt","Cisti Greenwalt","","","Texas Tech University","WNBA","v","","SAM"
"2006","1","0","14","SAC","Scholanda","Hoston","Scholanda Hoston","","","Louisiana State University","WNBA","x","","CON to SSS to SAM"
"2006","3","0","41","SAC","Lamisha","Augustine","Lamisha Augustine","","","San Jose State University","WNBA","x","","SAM"
"2006","1","0","13","SAC","Kim","Smith","Kim Smith","","","University of Utah","WNBA","v","","SAM"
"2007","2","0","21","SAC","Jessica","Dickson","Jessica Dickson","","","University of South Florida","WNBA","x","","SAM"
"2008","3","0","41","SAC","Marscilla","Packer","Marscilla Packer","","","Ohio State University","WNBA","x","","SAM"
"2008","3","0","38","SAC","A'Quonesia","Franklin","A?Quonesia Franklin","","","Texas A&M University","WNBA","v","","SAM"
"2008","1","0","10","SAC","Laura","Harper","Laura Harper","","","University of Maryland","WNBA","v","","SAM"
"2008","3","0","43","SAC","Charel","Allen","Charel Allen","","","University of Notre Dame","WNBA","v","","SAM"
"2008","3","0","40","SAC","Izabela","Piekarska","Izabela Piekarska","","","University of Texas-El Paso","WNBA","x","","INF to SAM"
"2009","2","0","20","SAC","Whitney","Boddie","Whitney Boddie","","","Auburn University","WNBA","v","","SAM"
"2009","1","0","7","SAC","Courtney","Paris","Courtney Paris","","","University of Oklahoma","WNBA","v","","SAM"
"2009","3","0","33","SAC","Morgan","Warburton","Morgan Warburton","","","University of Utah","WNBA","x","","SAM"
"2003","3","0","40","SAS","Brooke","Armistead","Brooke Armistead","","","Austin Peay University","WNBA","x","","SSS"
"2003","2","0","25","SAS","Ke-Ke","Tardy","Ke-Ke Tardy","","","Louisiana State University","WNBA","x","","SSS"
"2003","1","0","11","SAS","Coretta","Brown","Coretta Brown","","","University of North Carolina","WNBA","v","","SSS"
"2004","3","0","34","SAS","Toccara","Williams","Toccara Williams","","","Texas A&M University","WNBA","v","","CON to SSS"
"2004","2","0","21","SAS","Cindy","Dallas","Cindy Dallas","","","University of Illinois","WNBA","x","","CON to SSS"
"2005","1","0","4","SAS","Kendra","Wecker","Kendra Wecker","","","Kansas State University","WNBA","v","","SSS"
"2005","3","0","27","SAS","Cathrine","Kraayeveld","Cathrine Kraayeveld","","","University of Oregon","WNBA","v","","SSS"
"2005","2","0","14","SAS","Shyra","Ely","Shyra Ely","","","University of Tennessee","WNBA","v","","SSS"
"2006","1","0","4","SAS","Sophia","Young","Sophia Young","","","Baylor University","WNBA","v","","SSS"
"2006","3","0","30","SAS","Khara","Smith","Khara Smith","","","DePaul University","WNBA","x","","SSS"
"2006","2","0","16","SAS","Shanna","Zolman","Shanna Zolman","","","University of Tennessee","WNBA","v","","SSS"
"2007","1","0","2","SAS","Jessica","Davenport","Jessica Davenport","","","Ohio State University","WNBA","v","","SSS"
"2007","2","0","17","SAS","Camille","Little","Camille Little","","","University of North Carolina","WNBA","v","","SSS"
"2007","3","0","30","SAS","Nare","Diawara","Nare Diawara","","","Virginia Polytechnic Institute","WNBA","x","","SSS"
"2008","2","0","21","SAS","Chioma","Nnamaka","Chioma Nnamaka","","","Georgia Institute of Technology","WNBA","v","","NYL to SSS"
"2008","3","0","39","SAS","Alex","Anderson","Alex Anderson","","","University of Tennessee at Chattanooga","WNBA","x","","SSS"
"2009","2","0","14","SAS","Megan","Frazee","Megan Frazee","","","Liberty University","WNBA","v","","ATD to SSS"
"2009","2","0","26","SAS","Sonja","Petrovic","Sonja Petrovi?","","","Serbia","WNBA","x","","SSS"
"2009","3","0","39","SAS","Candyce","Bingham","Candyce Bingham","","","University of Louisville","WNBA","x","","SSS"
"2010","2","0","17","SAS","Alysha","Clark","Alysha Clark","","","Middle Tennessee State University","WNBA","x","","SSS"
"2010","3","0","29","SAS","Alexis","Rack","Alexis Rack","","","Mississippi State University","WNBA","x","","SSS"
"2010","1","0","5","SAS","Jayne","Appel","Jayne Appel","","","Stanford University","WNBA","v","","SSS"
"2011","2","0","20","SAS","Danielle","Adams","Danielle Adams","","","Texas A&M University","WNBA","v","","ATD to SSS"
"2011","3","0","30","SAS","Porsha","Phillips","Porsha Phillips","","","University of Georgia","WNBA","v","","SSS"
"2011","1","0","6","SAS","Danielle","Robinson","Danielle Robinson","","","University of Oklahoma","WNBA","v","","SSS"
"2012","1","0","5","SAS","Shenise","Johnson","Shenise Johnson","","","University of Miami","WNBA","x","","SSS"
