"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
"2001","WNBA","HOU","HOU","WE","","4","Y","0","L","","","Houston Comets","747","1908","415","539","138","435","348","710","1058","426","509","251","436","95","2047","740","1883","362","504","152","456","297","685","982","452","561","248","433","120","1994","0","0","0","0","0","0","19","13","32","11","5","8","8","13","8","6450","181115","Compaq Center"
"2002","WNBA","HOU","HOU","WE","","2","Y","0","L","","","Houston Comets","755","1778","453","585","109","332","299","702","1001","450","467","260","455","126","2072","705","1880","331","452","151","489","309","664","973","446","606","262","464","71","1892","0","0","0","0","0","0","24","8","32","14","2","10","6","16","5","6425","188648","Compaq Center"
"2003","WNBA","HOU","HOU","WE","","2","Y","0","L","","","Houston Comets","828","1916","473","600","115","344","266","764","1030","465","490","231","450","129","2244","824","2030","325","448","169","500","298","708","1006","516","634","227","430","122","2142","0","0","0","0","0","0","20","14","34","14","3","6","11","14","10","6825","150203","Compaq Center"
"2004","WNBA","HOU","HOU","WE","","6","N","0","","","","Houston Comets","798","1933","458","615","123","358","311","724","1035","451","555","242","484","107","2177","834","2008","391","531","152","434","335","720","1055","539","655","258","471","129","2211","0","0","0","0","0","0","13","21","34","9","8","4","13","7","15","6850","137455","Toyota Center"
"2005","WNBA","HOU","HOU","WE","","3","Y","0","W","L","","Houston Comets","860","1920","527","690","62","205","276","684","960","467","581","246","425","105","2309","848","1944","419","559","148","423","274","687","961","541","685","197","481","111","2263","0","0","0","0","0","0","19","15","34","11","6","8","9","11","11","6875","120676","Toyota Center"
"2006","WNBA","HOU","HOU","WE","","3","Y","0","L","","","Houston Comets","928","2098","482","678","169","472","303","822","1125","532","617","252","566","84","2507","928","2232","445","615","148","496","337","787","1124","526","705","298","519","89","2449","0","0","0","0","0","0","18","16","34","12","5","6","11","11","9","6925","130586","Toyota Center"
"2007","WNBA","HOU","HOU","WE","","5","N","0","","","","Houston Comets","915","2149","554","721","126","365","374","770","1144","558","655","289","633","109","2510","924","2190","578","719","202","581","342","721","1063","588","677","310","568","160","2628","0","0","0","0","0","0","13","21","34","7","10","6","11","10","12","6800","138816","Toyota Center"
"2008","WNBA","HOU","HOU","WE","","5","N","0","","","","Houston Comets","923","2213","563","736","152","481","376","803","1179","556","728","295","599","120","2561","903","2186","582","781","218","580","349","743","1092","542","744","313","555","165","2606","0","0","0","0","0","0","17","17","34","13","4","4","13","10","10","6925","111951","Toyota Center"
"2000","WNBA","IND","IND","EA","","7","N","0","","","","Indiana Fever","796","1838","428","569","193","521","285","647","932","501","642","271","518","126","2213","839","1868","503","669","109","358","321","633","954","528","612","267","476","75","2290","0","0","0","0","0","0","9","23","32","5","11","4","12","7","14","6425","180270","Conseco Fieldhouse"
"2001","WNBA","IND","IND","EA","","6","N","0","","","","Indiana Fever","762","1822","472","591","157","446","286","649","935","458","600","242","491","118","2153","853","1899","412","583","131","367","306","660","966","565","616","256","466","140","2249","0","0","0","0","0","0","10","22","32","7","9","3","13","7","14","6475","138922","Conseco Fieldhouse"
"2002","WNBA","IND","IND","EA","","4","Y","0","L","","","Indiana Fever","731","1825","455","580","180","543","315","633","948","447","559","268","438","100","2097","804","1817","359","503","162","464","288","644","932","507","647","226","470","145","2129","0","0","0","0","0","0","16","16","32","10","6","6","10","12","9","6425","134945","Conseco Fieldhouse"
"2003","WNBA","IND","IND","EA","","5","N","0","","","","Indiana Fever","839","2011","449","563","210","600","334","654","988","539","668","299","474","121","2337","837","1908","490","638","157","421","309","677","986","570","631","227","512","170","2321","0","0","0","0","0","0","16","18","34","11","6","5","12","12","12","6875","141778","Conseco Fieldhouse"
"2004","WNBA","IND","IND","EA","","6","N","0","","","","Indiana Fever","791","2011","450","580","166","481","396","705","1101","555","639","261","486","134","2198","804","1865","516","695","121","352","281","688","969","514","603","268","466","162","2245","0","0","0","0","0","0","15","19","34","10","7","5","12","8","12","6850","128989","Conseco Fieldhouse"
"2005","WNBA","IND","IND","EA","","2","Y","0","W","L","","Indiana Fever","784","1958","452","595","150","468","341","671","1012","493","668","336","477","95","2170","775","1798","460","642","123","367","279","711","990","435","644","234","558","113","2133","0","0","0","0","0","0","21","13","34","14","3","7","10","14","6","6925","142494","Conseco Fieldhouse"
"2006","WNBA","IND","IND","EA","","3","Y","0","L","","","Indiana Fever","873","2144","518","676","171","551","339","755","1094","501","606","354","528","93","2435","883","2043","413","559","137","444","288","773","1061","507","685","259","617","105","2316","0","0","0","0","0","0","21","13","34","12","5","9","8","12","8","6850","122768","Conseco Fieldhouse"
"2007","WNBA","IND","IND","EA","","2","Y","0","W","L","","Indiana Fever","907","2167","478","617","188","546","341","812","1153","511","646","308","589","136","2480","881","2192","450","608","158","483","369","795","1164","475","663","280","610","114","2370","0","0","0","0","0","0","21","13","34","12","5","9","8","12","8","6875","133915","Conseco Fieldhouse"
"2008","WNBA","IND","IND","EA","","4","Y","0","L","","","Indiana Fever","876","2179","495","656","226","662","349","778","1127","500","727","324","585","165","2473","891","2127","540","706","135","415","338","833","1171","477","659","294","608","130","2457","0","0","0","0","0","0","17","17","34","11","6","6","11","12","8","6950","130941","Conseco Fieldhouse"
"2009","WNBA","IND","IND","EA","","1","Y","0","W","W","L","Indiana Fever","890","2212","613","746","213","637","342","780","1122","527","692","373","531","117","2606","909","2118","529","692","154","483","318","849","1167","498","700","271","638","116","2501","0","0","0","0","0","0","22","12","34","14","3","8","9","17","5","6925","134964","Conseco Fieldhouse"
"2010","WNBA","IND","IND","EA","","3","Y","0","L","","","Indiana Fever","941","2147","563","720","216","591","327","779","1106","567","705","331","551","171","2661","885","2128","567","716","181","547","339","783","1122","497","687","282","603","120","2518","0","0","0","0","0","0","21","13","34","13","4","8","9","13","9","6875","140504","Conseco Fieldhouse"
"2011","WNBA","IND","IND","EA","","1","Y","0","W","L","","Indiana Fever ","936","2114","548","695","223","589","295","778","1073","556","609","299","502","165","2643","925","2182","481","655","179","534","359","776","1135","537","647","269","542","134","2510","0","0","0","0","0","0","21","13","34","13","4","8","9","13","9","6825","136915","Conseco Fieldhouse"
"2012","WNBA","IND","IND","EA","","2","Y","0","W","W","W","Indiana Fever ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","12","34","13","4","9","8","15","7","0","128897","Conseco Fieldhouse"
"1997","WNBA","LAS","LAS","WE","","2","N","0","","","","Los Angeles Sparks","794","1782","419","620","65","242","290","683","973","495","601","259","528","138","2072","719","1812","477","649","95","343","323","597","920","457","575","287","505","82","2010","0","0","0","0","0","0","14","14","28","8","6","6","8","8","4","5725","125034","Great Western Forum"
"1998","WNBA","LAS","LAS","WE","","3","N","0","","","","Los Angeles Sparks","797","1914","443","609","111","335","337","683","1020","472","675","229","511","148","2148","780","1898","490","693","119","372","337","663","1000","522","603","244","481","109","2169","0","0","0","0","0","0","12","18","30","8","7","4","11","6","10","6025","114088","Great Western Forum"
"1999","WNBA","LAS","LAS","WE","","2","Y","0","W","L","","Los Angeles Sparks","890","2044","506","676","163","476","342","725","1067","581","693","237","484","124","2449","818","1993","535","721","147","445","335","696","1031","511","681","250","493","99","2318","0","0","0","0","0","0","20","12","32","13","3","7","9","12","8","6475","122000","Great Western Forum"
"2000","WNBA","LAS","LAS","WE","","1","Y","0","W","L","","Los Angeles Sparks","861","1956","545","693","150","452","308","783","1091","586","705","271","466","156","2417","776","1963","495","692","122","413","300","678","978","445","650","243","485","105","2169","0","0","0","0","0","0","28","4","32","15","1","13","3","17","4","6450","105005","Staples Center"
"2001","WNBA","LAS","LAS","WE","","1","Y","0","W","W","W","Los Angeles Sparks","916","2031","449","594","160","436","350","755","1105","596","616","281","438","138","2441","779","1985","416","547","192","603","294","627","921","538","591","234","453","114","2166","0","0","0","0","0","0","28","4","32","16","0","12","4","19","2","6475","148446","Staples Center"
"2002","WNBA","LAS","LAS","WE","","1","Y","0","W","W","W","Los Angeles Sparks","891","2002","476","645","194","515","329","814","1143","583","664","257","517","161","2452","796","2040","480","649","163","521","314","645","959","508","623","275","453","111","2235","0","0","0","0","0","0","25","7","32","12","4","13","3","17","4","6475","186410","Staples Center"
"2003","WNBA","LAS","LAS","WE","","1","Y","0","W","W","L","Los Angeles Sparks","894","2140","537","678","174","528","336","813","1149","587","682","242","470","161","2499","866","2147","504","702","196","540","316","789","1105","572","654","241","468","127","2432","0","0","0","0","0","0","24","10","34","11","6","13","4","17","7","6900","157934","Staples Center"
"2004","WNBA","LAS","LAS","WE","","1","Y","0","L","","","Los Angeles Sparks","904","2069","530","722","157","414","312","809","1121","626","731","262","529","148","2495","815","2095","557","761","174","511","339","727","1066","532","704","288","523","114","2361","0","0","0","0","0","0","25","9","34","15","2","10","7","16","6","6975","177269","Staples Center"
"2005","WNBA","LAS","LAS","WE","","4","Y","0","L","","","Los Angeles Sparks","873","2042","456","630","124","387","321","683","1004","551","737","264","492","136","2326","818","1955","527","709","182","519","332","709","1041","567","654","247","544","115","2345","0","0","0","0","0","0","17","17","34","11","6","6","11","12","10","6800","150521","Staples Center"
"2006","WNBA","LAS","LAS","WE","","1","Y","0","W","L","","Los Angeles Sparks","962","2195","540","726","111","377","350","852","1202","610","679","296","534","129","2575","873","2184","534","721","196","570","336","746","1082","565","636","284","556","128","2476","0","0","0","0","0","0","25","9","34","15","2","10","7","15","5","6825","141282","Staples Center"
"2007","WNBA","LAS","LAS","WE","","7","N","0","","","","Los Angeles Sparks","940","2305","493","627","160","456","356","783","1139","554","732","245","571","107","2533","954","2212","609","800","191","537","343","836","1179","616","605","290","550","137","2708","0","0","0","0","0","0","10","24","34","5","12","5","12","6","16","6900","147810","Staples Center"
"2008","WNBA","LAS","LAS","WE","","3","Y","0","W","L","","Los Angeles Sparks","954","2248","539","717","151","485","386","896","1282","613","713","251","608","216","2598","888","2310","562","751","185","547","359","768","1127","513","717","303","523","141","2523","0","0","0","0","0","0","20","14","34","12","5","8","9","12","8","7000","161639","Staples Center"
"2009","WNBA","LAS","LAS","WE","","3","Y","0","W","L","","Los Angeles Sparks","973","2264","435","550","152","512","365","883","1248","587","583","217","568","166","2533","903","2262","479","623","213","636","320","730","1050","516","622","300","463","115","2498","0","0","0","0","0","0","18","16","34","11","6","7","10","11","9","6925","176587","Staples Center"
"2010","WNBA","LAS","LAS","WE","","4","Y","0","L","","","Los Angeles Sparks","972","2205","503","612","201","597","260","788","1048","626","571","244","496","123","2648","1025","2322","494","627","217","621","357","842","1199","594","622","275","484","97","2761","0","0","0","0","0","0","13","21","34","8","9","5","12","10","12","6825","160951","Staples Center"
"2011","WNBA","LAS","LAS","WE","","5","N","0","","","","Los Angeles Sparks ","973","2188","440","554","237","598","293","784","1077","617","575","249","516","115","2623","1042","2332","440","572","207","615","376","808","1184","616","607","262","464","77","2731","0","0","0","0","0","0","15","19","34","10","7","5","12","10","12","6900","175436","Staples Center"
"2012","WNBA","LAS","LAS","WE","","2","Y","0","W","L","","Los Angeles Sparks ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","10","34","16","1","8","9","15","7","0","171511","Staples Center"
"1998","ABL","LON","LON","WE","","2","Y","3","W","W","L","Long Beach Stingrays","1291","2873","800","1072","146","432","638","973","1611","739","982","439","848","112","3528","1183","2658","852","1145","205","597","480","880","1360","695","903","385","838","115","3423","0","0","0","0","0","0","26","18","44","15","7","11","11","16","12","8875","46573","Pyramid"
"2000","WNBA","MIA","MIA","EA","","6","N","0","","","","Miami Sol","647","1774","452","664","85","310","365","595","960","415","707","272","524","88","1831","715","1676","454","627","117","315","275","648","923","416","661","247","528","118","2001","0","0","0","0","0","0","13","19","32","9","7","4","12","9","12","6475","127721","AmericanAirlines Arena"
"2001","WNBA","MIA","MIA","EA","","3","Y","0","L","","","Miami Sol","754","1826","356","469","93","295","292","651","943","467","602","300","448","153","1957","679","1725","420","588","120","395","301","667","968","388","538","259","512","87","1898","0","0","0","0","0","0","20","12","32","10","6","10","6","14","7","6575","141717","AmericanAirlines Arena"
"2002","WNBA","MIA","MIA","EA","","6","N","0","","","","Miami Sol","774","1856","369","529","129","389","296","573","869","476","643","274","435","96","2046","745","1722","469","614","129","382","278","693","971","446","588","222","515","104","2088","0","0","0","0","0","0","15","17","32","9","7","6","10","11","10","6475","141252","AmericanAirlines Arena"
"1999","WNBA","MIN","MIN","WE","","5","N","0","","","","Minnesota Lynx","748","1925","339","470","200","603","298","608","906","525","670","204","437","78","2035","749","1763","476","641","137","458","296","732","1028","507","614","194","492","92","2111","0","0","0","0","0","0","15","17","32","8","8","7","9","8","12","6475","167901","Target Center"
"2000","WNBA","MIN","MIN","WE","","6","N","0","","","","Minnesota Lynx","770","1831","449","592","204","571","258","612","870","495","690","237","497","63","2193","755","1758","514","702","164","481","300","677","977","472","707","275","547","130","2188","0","0","0","0","0","0","15","17","32","8","8","7","9","5","16","6425","116638","Target Center"
"2001","WNBA","MIN","MIN","WE","","6","N","0","","","","Minnesota Lynx","671","1810","559","727","176","552","308","693","1001","437","695","210","507","127","2077","752","1927","499","624","153","472","328","688","1016","511","719","259","470","126","2156","0","0","0","0","0","0","12","20","32","6","10","6","10","9","12","6475","120607","Target Center"
"2002","WNBA","MIN","MIN","WE","","8","N","0","","","","Minnesota Lynx","727","1775","383","578","166","500","309","650","959","466","617","226","529","102","2003","747","1807","469","613","141","389","302","612","914","495","618","273","465","117","2104","0","0","0","0","0","0","10","22","32","7","9","3","13","6","15","6475","139874","Target Center"
"2003","WNBA","MIN","MIN","WE","","4","Y","0","L","","","Minnesota Lynx","875","1978","450","624","180","524","361","718","1079","580","634","242","558","101","2380","878","2067","473","633","141","446","337","652","989","528","666","271","471","126","2370","0","0","0","0","0","0","18","16","34","11","6","7","10","14","10","6850","120253","Target Center"
"2004","WNBA","MIN","MIN","WE","","3","Y","0","L","","","Minnesota Lynx","767","1900","454","640","177","542","332","724","1056","526","660","257","613","139","2165","804","1972","490","669","92","330","323","713","1036","508","676","333","502","133","2190","0","0","0","0","0","0","18","16","34","11","6","7","10","12","10","6850","125097","Target Center"
"2005","WNBA","MIN","MIN","WE","","6","N","0","","","","Minnesota Lynx","801","1946","437","601","172","492","310","715","1025","531","624","258","536","127","2211","862","2019","435","592","129","376","344","711","1055","537","665","275","487","144","2288","0","0","0","0","0","0","14","20","34","11","6","3","14","9","13","6850","113447","Target Center"
"2006","WNBA","MIN","MIN","WE","","7","N","0","","","","Minnesota Lynx","945","2211","485","681","148","419","340","804","1144","491","654","193","530","113","2523","1004","2314","548","719","179","542","372","832","1204","625","633","308","438","124","2735","0","0","0","0","0","0","10","24","34","8","9","2","15","6","14","6825","109522","Target Center"
"2007","WNBA","MIN","MIN","WE","","6","N","0","","","","Minnesota Lynx","971","2355","531","674","163","496","397","785","1182","596","713","238","561","95","2636","988","2195","614","785","162","461","318","800","1118","565","645","279","529","147","2752","0","0","0","0","0","0","10","24","34","7","10","3","14","8","14","6875","121019","Target Center"
"2008","WNBA","MIN","MIN","WE","","7","N","0","","","","Minnesota Lynx","991","2303","652","864","133","413","353","792","1145","557","751","309","472","131","2767","974","2220","612","809","161","486","350","862","1212","587","748","248","579","140","2721","0","0","0","0","0","0","16","18","34","9","8","7","10","8","12","6900","118463","Target Center"
"2009","WNBA","MIN","MIN","WE","","5","N","0","","","","Minnesota Lynx","949","2257","591","766","242","695","325","762","1087","509","693","301","513","128","2731","1041","2260","550","711","195","510","317","848","1165","589","694","250","543","140","2827","0","0","0","0","0","0","14","20","34","9","8","5","12","7","13","6875","128127","Target Center"
"2010","WNBA","MIN","MIN","WE","","5","N","0","","","","Minnesota Lynx","944","2375","618","818","169","526","394","803","1197","507","682","304","493","112","2675","998","2236","578","737","217","638","297","891","1188","607","681","254","564","178","2791","0","0","0","0","0","0","13","21","34","7","10","6","11","8","14","6925","129582","Target Center"
"2011","WNBA","MIN","MIN","WE","","1","Y","0","W","W","W","Minnesota Lynx ","1074","2330","454","616","169","459","371","871","1242","617","603","249","439","124","2771","896","2169","480","611","231","653","268","757","1025","512","616","204","508","121","2503","0","0","0","0","0","0","27","7","34","14","3","13","4","18","4","6800","143607","Target Center"
"2012","WNBA","MIN","MIN","WE","","1","Y","0","W","W","L","Minnesota Lynx ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","7","34","16","1","11","6","17","5","0","164617","Target Center"
"1999","ABL","NAS","NAS","EA","","4","","0","","","","Nashville Noise","387","925","239","331","74","224","178","332","510","228","359","134","308","47","1087","409","891","301","398","62","189","159","349","508","244","320","148","276","36","1181","0","0","0","0","0","0","4","11","15","3","4","1","7","3","6","3000","17982","Municipal Auditorium"
"1997","ABL","NEW","NEW","EA","","4","N","0","","","","New England Blizzard","1182","2489","704","912","182","480","428","1066","1494","679","878","395","819","79","3250","1133","2518","798","1055","240","637","467","1073","1540","725","812","398","787","100","3304","18","148","166","70","128","198","16","24","40","11","9","5","15","8","16","8000","100166","Hartford Civic Center/Springfield Civic Center"
"1998","ABL","NEW","NEW","EA","","2","Y","4","L","","","New England Blizzard","1158","2554","881","1132","141","418","431","996","1427","696","917","409","853","112","3338","1153","2695","785","1044","236","702","511","904","1415","720","976","433","783","106","3327","0","0","0","0","0","0","24","20","44","17","5","7","15","13","11","8875","194848","Hartford Civic Center/Springfield Civic Center"
"1999","ABL","NEW","NEW","EA","","5","","0","","","","New England Blizzard","302","690","231","295","38","149","120","294","414","182","252","111","284","33","873","356","795","184","246","60","163","128","260","388","216","284","173","210","23","956","0","0","0","0","0","0","3","10","13","2","6","1","4","3","6","2600","60479","Hartford Civic Center/Springfield Civic Center"
"1997","WNBA","NYL","NYL","EA","","2","Y","3","","W","L","New York Liberty","707","1715","404","607","93","339","320","600","920","484","556","289","536","116","1911","661","1690","416","564","106","320","327","604","931","397","563","278","570","87","1844","0","0","0","0","0","0","17","11","28","10","4","7","7","8","4","5675","185786","Madison Square Garden (IV)"
"1998","WNBA","NYL","NYL","EA","","3","N","0","","","","New York Liberty","758","1784","450","629","92","281","320","624","944","513","630","291","501","84","2058","709","1693","445","625","103","325","272","620","892","420","610","261","538","81","1966","0","0","0","0","0","0","18","12","30","12","3","6","9","8","8","6050","224024","Madison Square Garden (IV)"
"1999","WNBA","NYL","NYL","EA","","1","Y","0","","W","L","New York Liberty","800","1914","394","529","175","473","319","625","944","522","700","297","482","91","2169","720","1747","540","723","109","405","299","682","981","451","584","252","557","89","2089","0","0","0","0","0","0","18","14","32","12","4","6","10","12","8","6525","224748","Madison Square Garden (IV)"
"2000","WNBA","NYL","NYL","EA","","1","Y","0","W","W","L","New York Liberty","792","1815","429","567","135","396","288","652","940","477","617","246","474","102","2148","741","1822","437","590","116","420","320","647","967","462","645","223","479","94","2035","0","0","0","0","0","0","20","12","32","12","4","8","8","14","7","6425","231962","Madison Square Garden (IV)"
"2001","WNBA","NYL","NYL","EA","","2","Y","0","W","L","","New York Liberty","833","1828","336","500","160","421","255","660","915","553","616","265","437","82","2162","744","1759","461","640","133","394","304","679","983","430","600","223","496","76","2082","0","0","0","0","0","0","21","11","32","13","3","8","8","13","8","6400","250565","Madison Square Garden (IV)"
"2002","WNBA","NYL","NYL","EA","","1","Y","0","W","W","L","New York Liberty","772","1740","400","567","145","400","260","610","870","496","638","261","458","100","2089","691","1733","484","645","149","434","312","649","961","410","597","228","478","88","2015","0","0","0","0","0","0","18","14","32","10","6","8","8","11","10","6450","234717","Madison Square Garden (IV)"
"2003","WNBA","NYL","NYL","EA","","6","N","0","","","","New York Liberty","825","1923","412","537","181","500","271","686","957","527","587","262","470","128","2243","821","1959","459","581","155","467","326","736","1062","506","614","269","480","96","2256","0","0","0","0","0","0","16","18","34","11","6","5","12","11","13","6850","212346","Madison Square Garden (IV)"
"2004","WNBA","NYL","NYL","EA","","2","Y","0","W","L","","New York Liberty","819","1932","398","531","216","617","263","741","1004","539","587","209","506","124","2252","867","2096","431","579","132","416","371","730","1101","517","589","288","430","123","2297","0","0","0","0","0","0","18","16","34","11","6","7","10","10","10","6900","168062","Madison Square Garden (IV)"
"2005","WNBA","NYL","NYL","EA","","3","Y","0","L","","","New York Liberty","828","1860","452","552","208","605","242","732","974","498","613","214","462","112","2316","859","2012","442","608","125","398","345","685","1030","473","590","275","411","86","2285","0","0","0","0","0","0","18","16","34","10","7","8","9","9","11","6925","172381","Madison Square Garden (IV)"
"2006","WNBA","NYL","NYL","EA","","5","N","0","","","","New York Liberty","822","2069","512","650","216","645","285","736","1021","475","674","252","576","112","2372","966","2153","553","722","171","461","341","832","1173","508","668","270","485","134","2656","0","0","0","0","0","0","11","23","34","7","10","4","13","7","13","6875","155048","Madison Square Garden (IV)"
"2007","WNBA","NYL","NYL","EA","","4","Y","0","L","","","New York Liberty","870","2087","430","580","243","653","287","788","1075","500","618","289","612","109","2413","920","2223","471","619","190","589","378","837","1215","509","608","321","562","115","2501","0","0","0","0","0","0","16","18","34","10","7","6","11","10","10","6850","147866","Madison Square Garden (IV)"
"2008","WNBA","NYL","NYL","EA","","3","Y","0","W","L","","New York Liberty","912","2168","490","653","259","706","327","778","1105","551","655","290","547","117","2573","924","2163","516","674","174","485","352","823","1175","496","625","285","559","109","2538","0","0","0","0","0","0","19","15","34","11","6","8","9","11","9","6900","153772","Madison Square Garden (IV)"
"2009","WNBA","NYL","NYL","EA","","7","N","0","","","","New York Liberty","900","2168","458","582","254","710","280","802","1082","526","637","276","543","121","2512","906","2157","531","673","192","554","333","869","1202","482","590","269","548","124","2535","0","0","0","0","0","0","13","21","34","8","9","5","12","9","13","6900","166604","Madison Square Garden (IV)"
"2010","WNBA","NYL","NYL","EA","","2","Y","0","W","L","","New York Liberty","1001","2212","458","560","233","570","295","767","1062","631","645","278","494","100","2693","929","2133","549","696","176","483","309","778","1087","486","552","246","530","130","2583","0","0","0","0","0","0","22","12","34","13","4","9","8","14","8","6875","188173","Madison Square Garden (IV)"
"2011","WNBA","NYL","NYL","EA","","4","Y","0","L","","","New York Liberty ","999","2306","389","504","197","551","358","757","1115","534","644","286","504","129","2584","923","2154","506","646","190","593","308","792","1100","560","571","230","576","124","2542","0","0","0","0","0","0","19","15","34","12","5","7","10","11","11","6850","130936","Prudential Center"
"2012","WNBA","NYL","NYL","EA","","4","Y","0","L","","","New York Liberty ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","19","34","9","8","6","11","10","12","0","115241","Prudential Center"
"1999","WNBA","ORL","CON","EA","","4","N","0","","","","Orlando Miracle","793","1869","465","672","155","461","329","637","966","467","648","297","521","93","2206","812","1892","431","608","161","438","340","664","1004","537","660","257","534","124","2216","0","0","0","0","0","0","15","17","32","8","8","7","9","9","11","6450","156818","Amway Arena"
"2000","WNBA","ORL","CON","EA","","3","Y","0","L","","","Orlando Miracle","833","1911","397","546","145","424","319","606","925","473","583","255","486","130","2208","851","1964","378","495","153","450","348","669","1017","536","637","264","500","108","2233","0","0","0","0","0","0","16","16","32","11","5","5","11","13","8","6500","117810","Amway Arena"
"2001","WNBA","ORL","CON","EA","","5","N","0","","","","Orlando Miracle","768","1914","430","587","174","532","356","614","970","452","643","320","532","125","2140","806","1831","436","605","157","438","316","659","975","534","600","298","546","114","2205","0","0","0","0","0","0","13","19","32","10","6","3","13","9","12","6450","118874","Amway Arena"
"2002","WNBA","ORL","CON","EA","","5","N","0","","","","Orlando Miracle","808","1914","493","646","145","461","320","595","915","446","669","295","456","113","2254","804","1862","491","668","156","422","362","684","1046","519","637","251","541","108","2255","0","0","0","0","0","0","16","16","32","10","6","6","10","13","8","6525","113837","Amway Arena"
"1997","WNBA","PHO","PHO","WE","","1","Y","2","","L","","Phoenix Mercury","660","1768","484","634","134","436","322","599","921","437","570","343","475","80","1938","670","1622","397","589","89","313","275","649","924","408","598","243","599","114","1826","0","0","0","0","0","0","16","12","28","11","3","5","9","9","3","5675","191835","US Airways Center"
"1998","WNBA","PHO","PHO","WE","","2","Y","3","","W","L","Phoenix Mercury","787","1856","513","709","130","405","327","614","941","543","595","288","483","86","2217","758","1747","432","601","77","244","298","643","941","406","664","242","581","96","2025","0","0","0","0","0","0","19","11","30","12","3","7","8","10","6","6075","206476","US Airways Center"
"1999","WNBA","PHO","PHO","WE","","4","N","0","","","","Phoenix Mercury","762","1910","519","695","134","456","343","659","1002","510","652","229","460","121","2177","794","1911","475","637","119","395","334","678","1012","494","676","234","479","108","2182","0","0","0","0","0","0","15","17","32","12","4","3","13","7","13","6400","195508","US Airways Center"
"2000","WNBA","PHO","PHO","WE","","4","Y","0","L","","","Phoenix Mercury","803","1800","513","661","124","394","275","619","894","465","630","285","429","91","2243","773","1828","421","574","135","416","334","635","969","486","699","224","531","91","2102","0","0","0","0","0","0","20","12","32","11","5","9","7","11","10","6425","161075","US Airways Center"
"2001","WNBA","PHO","PHO","WE","","5","N","0","","","","Phoenix Mercury","767","1894","429","587","101","313","300","642","942","514","625","292","519","138","2064","785","1892","462","584","137","391","333","698","1031","524","603","283","517","127","2169","0","0","0","0","0","0","13","19","32","10","6","3","13","8","13","6450","136979","US Airways Center"
"2002","WNBA","PHO","PHO","WE","","7","N","0","","","","Phoenix Mercury","793","1889","405","538","100","328","292","626","918","427","623","267","501","94","2091","850","1870","436","608","155","388","309","692","1001","532","600","268","491","127","2291","0","0","0","0","0","0","11","21","32","10","6","1","15","7","14","6400","139798","US Airways Center"
"2003","WNBA","PHO","PHO","WE","","7","N","0","","","","Phoenix Mercury","801","2095","379","556","116","349","357","643","1000","461","664","310","479","111","2097","834","1867","466","626","136","371","303","811","1114","509","667","275","610","146","2270","0","0","0","0","0","0","8","26","34","6","11","2","15","5","19","6925","144511","US Airways Center"
"2004","WNBA","PHO","PHO","WE","","5","N","0","","","","Phoenix Mercury","826","1922","456","598","192","519","264","652","916","501","748","282","464","137","2300","784","1845","534","724","133","348","309","711","1020","456","660","226","536","137","2235","0","0","0","0","0","0","17","17","34","10","7","7","10","11","11","6825","136295","US Airways Center"
"2005","WNBA","PHO","PHO","WE","","5","N","0","","","","Phoenix Mercury","826","1994","531","693","178","539","342","720","1062","549","697","243","517","179","2361","855","1993","523","720","121","332","319","705","1024","470","672","265","483","112","2354","0","0","0","0","0","0","16","18","34","11","6","5","12","12","10","6800","124146","US Airways Center"
"2006","WNBA","PHO","PHO","WE","","5","N","0","","","","Phoenix Mercury","1079","2434","537","684","265","722","334","811","1145","640","741","275","442","127","2960","1023","2360","630","852","203","618","408","875","1283","578","669","231","537","126","2879","0","0","0","0","0","0","18","16","34","10","7","8","9","8","12","6900","126801","US Airways Center"
"2007","WNBA","PHO","PHO","WE","","1","Y","0","W","W","W","Phoenix Mercury","1063","2419","616","754","283","802","279","873","1152","683","658","285","486","159","3025","1022","2526","570","716","290","762","445","945","1390","628","684","244","595","109","2904","0","0","0","0","0","0","23","11","34","12","5","11","6","17","5","6850","131524","US Airways Center"
