"playerID","playerName","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","dq","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","PostDQ"
"mabikmw01w","Mwadi Mabika","2006","0","LAS","WNBA","32","32","679","272","17","47","64","48","19","6","37","77","244","92","63","56","96","32","0","5","4","140","77","7","13","20","10","7","0","8","21","67","26","17","12","30","13","1"
"mabikmw01w","Mwadi Mabika","2007","0","LAS","WNBA","33","23","762","267","16","110","126","72","28","4","73","90","258","94","57","43","116","36","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mabikmw01w","Mwadi Mabika","2008","0","HOU","WNBA","20","11","327","92","10","27","37","17","10","0","12","39","99","30","21","15","62","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"macchla01w","Laura Macchi","2004","0","LAS","WNBA","25","15","410","152","23","38","61","14","21","6","29","56","106","52","55","41","26","7","0","1","0","15","2","1","3","4","1","1","0","3","4","6","1","0","0","1","0","0"
"macchla01w","Laura Macchi","2005","0","LAS","WNBA","13","1","148","63","6","12","18","7","8","1","13","23","53","21","17","12","28","9","0","2","0","9","7","0","0","0","0","0","0","0","1","4","2","2","2","1","1","0"
"machacl01w","Clarisse Machanguana","1998","0","SJL","ABL","44","23","938","403","77","126","203","33","46","10","80","132","264","153","162","97","0","0","2","4","4","132","65","13","22","35","6","6","1","10","11","37","21","31","23","0","0","0"
"machacl01w","Clarisse Machanguana","1999","0","SJL","ABL","15","15","435","201","28","54","82","27","24","4","30","55","134","74","78","53","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"machacl01w","Clarisse Machanguana","1999","0","LAS","WNBA","28","0","245","74","16","36","52","9","8","3","14","34","49","24","36","26","0","0","0","1","0","7","4","1","1","2","0","0","0","0","1","3","2","0","0","0","0","0"
"machacl01w","Clarisse Machanguana","2000","0","LAS","WNBA","31","1","421","110","20","52","72","18","13","4","19","66","83","48","25","14","1","0","1","4","0","47","12","6","5","11","0","1","1","1","6","8","4","6","4","0","0","0"
"machacl01w","Clarisse Machanguana","2001","0","CHA","WNBA","30","8","580","163","34","87","121","17","16","16","41","95","126","63","57","37","0","0","2","8","0","132","38","7","12","19","2","3","3","6","11","32","17","6","4","0","0","0"
"machacl01w","Clarisse Machanguana","2002","0","ORL","WNBA","29","25","428","138","26","38","64","17","12","4","33","61","114","61","25","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mahonme01w","Megan Mahoney","2006","0","CON","WNBA","31","1","351","76","15","51","66","24","7","1","25","38","85","26","19","17","29","7","0","4","0","13","0","0","2","2","0","0","0","2","2","4","0","0","0","3","0","0"
"mahonme01w","Megan Mahoney","2007","0","CON","WNBA","18","0","121","31","7","7","14","8","4","1","11","18","28","7","22","16","6","1","0","2","0","11","7","2","1","3","0","1","0","0","3","4","3","2","1","1","0","0"
"mahonsh01w","Shea Mahoney","2000","0","NYL","WNBA","15","3","158","27","10","20","30","4","2","1","5","14","38","11","8","4","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"mahonsh01w","Shea Mahoney","2002","0","PHO","WNBA","3","0","13","5","2","0","2","1","0","0","1","4","3","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"maigaha01w","Hamchetou Maiga-Ba","2002","0","SAC","WNBA","23","3","197","40","18","19","37","9","15","3","23","37","53","13","30","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"maigaha01w","Hamchetou Maiga-Ba","2003","0","SAC","WNBA","22","0","190","42","13","24","37","14","18","2","14","27","52","17","20","8","0","0","0","4","0","15","2","1","2","3","2","0","0","5","4","3","1","0","0","0","0","0"
"maigaha01w","Hamchetou Maiga-Ba","2004","0","SAC","WNBA","34","0","480","140","35","36","71","25","29","6","49","63","132","62","29","16","0","0","0","6","0","68","5","3","3","6","4","7","0","7","11","13","2","4","1","1","0","0"
"maigaha01w","Hamchetou Maiga-Ba","2005","0","SAC","WNBA","34","0","408","129","31","36","67","30","24","6","42","69","131","59","35","11","0","0","0","8","0","82","30","5","8","13","4","5","3","8","16","26","13","6","4","0","0","1"
